-----------------------------------------
now: 2018-01-25 18:26:54.842193
data:
x:-0.64|y:-0.01|z:-0.33|abs: 0.72
x:-0.27|y:-0.14|z:-0.68|abs: 0.75
x:-0.35|y: 0.15|z:-0.57|abs: 0.69
x:-0.53|y: 0.29|z:-0.44|abs: 0.75
x: 0.17|y: 0.34|z: 0.48|abs: 0.61
x: 0.26|y: 0.27|z: 0.44|abs: 0.58
x:-0.10|y:-0.62|z:-0.74|abs: 0.98
x:-0.08|y:-0.60|z:-0.82|abs: 1.01
x:-0.07|y:-0.58|z:-0.78|abs: 0.97
x:-0.09|y:-0.61|z:-0.78|abs: 0.99
x:-0.08|y:-0.59|z:-0.80|abs: 1.00
x:-0.09|y:-0.60|z:-0.76|abs: 0.97
x:-0.07|y:-0.61|z:-0.79|abs: 1.00
x:-0.07|y:-0.60|z:-0.79|abs: 0.99
x:-0.09|y:-0.61|z:-0.78|abs: 0.99
x:-0.07|y:-0.60|z:-0.82|abs: 1.02
x:-0.08|y:-0.59|z:-0.77|abs: 0.97
x:-0.07|y:-0.60|z:-0.78|abs: 0.99
x:-0.08|y:-0.60|z:-0.82|abs: 1.02
x:-0.08|y:-0.59|z:-0.81|abs: 1.00
x:-0.07|y:-0.59|z:-0.79|abs: 0.99
x:-0.07|y:-0.60|z:-0.79|abs: 1.00
x:-0.08|y:-0.59|z:-0.81|abs: 1.01
x:-0.07|y:-0.59|z:-0.80|abs: 1.00
x:-0.08|y:-0.59|z:-0.81|abs: 1.00
x:-0.08|y:-0.58|z:-0.81|abs: 1.00
x:-0.09|y:-0.58|z:-0.79|abs: 0.99
x:-0.08|y:-0.59|z:-0.80|abs: 1.00
x:-0.08|y:-0.58|z:-0.81|abs: 1.00
x:-0.08|y:-0.59|z:-0.80|abs: 1.00
x:-0.09|y:-0.58|z:-0.80|abs: 1.00
x:-0.08|y:-0.59|z:-0.81|abs: 1.01
x:-0.07|y:-0.59|z:-0.82|abs: 1.01
x:-0.12|y:-0.57|z:-0.81|abs: 0.99
x:-0.13|y:-0.58|z:-0.79|abs: 0.99
x:-0.10|y:-0.59|z:-0.78|abs: 0.98
x:-0.10|y:-0.58|z:-0.79|abs: 0.99
x:-0.10|y:-0.59|z:-0.81|abs: 1.01
-----------------------------------------
