-----------------------------------------
now: 2018-01-25 19:36:55.185483
data:
x:-1.17|y:-0.13|z: 0.70|abs: 1.37
x: 0.38|y:-0.10|z:-0.37|abs: 0.53
x:-0.36|y: 0.25|z:-0.46|abs: 0.64
x:-0.64|y: 0.49|z:-0.59|abs: 0.99
x:-0.48|y: 0.62|z: 0.35|abs: 0.85
x: 1.01|y:-0.43|z:-0.52|abs: 1.21
x: 0.38|y: 0.25|z:-1.55|abs: 1.61
x:-0.25|y: 0.42|z:-0.98|abs: 1.10
x: 0.40|y:-0.46|z: 0.52|abs: 0.80
x: 0.05|y:-0.35|z: 0.80|abs: 0.88
x:-0.32|y: 0.25|z:-0.76|abs: 0.86
-----------------------------------------
